Generation,AverageFitness,MaxFitness
237,11358.337920,12404.465393
238,10047.801539,10858.506877
239,13258.329884,13866.735434
240,13354.959179,13854.341182
241,14235.610117,15279.719484
242,11528.845126,11861.531943
243,10916.329103,11415.679295
244,9268.495235,9906.400926
245,10889.579854,11513.791141
246,12363.923133,12915.916769
247,11710.135470,12497.938162
248,12189.825371,13104.975664
249,12576.814854,13088.203881
250,11866.251663,12512.435207
251,10638.366056,11492.742245
252,10384.363922,11076.167014
253,12261.299305,12703.396053
254,11705.177282,12214.042435
255,10616.929427,11240.637215
256,11906.705508,12892.431859
257,13326.694244,13748.662833
258,10826.602888,11059.059137
259,11839.003713,12303.101086
260,11165.925925,11487.236040
261,12498.822813,12890.697890
262,10836.379301,11619.582611
263,11594.471045,12078.282719
264,12916.487694,13251.005331
265,13574.537701,14009.070169
266,11259.795374,11524.273773
267,11057.537787,11726.049566
268,10863.408456,11110.743335
269,12485.342300,13054.690985
270,10921.426769,11401.977972
271,13437.120050,13692.373565
272,11791.017833,12058.628632
273,10272.144695,10661.116377
274,13118.452268,13815.039902
275,11199.073603,11796.182972
276,12992.253283,13473.290806
277,11370.775944,11658.519647
278,12167.654944,12686.812430
279,13793.163527,14174.080624
280,11609.890351,11976.819055
281,12469.722305,12675.141546
282,10963.163388,11184.394783
283,11828.576168,12245.033879
284,13083.136550,13511.153144
285,13060.618264,13511.028293
286,14763.323882,15104.471308
287,10259.827913,10582.856954
288,10916.267910,11831.682776
289,11969.998672,12838.435440
290,12302.216174,12602.349552
291,13478.088913,13829.013056
292,11050.475045,11522.817297
293,11840.721538,12178.362286
294,14185.689864,14975.734107
295,10420.019981,10819.893458
296,11484.257006,11847.721286
297,11519.179666,11708.795483
298,11232.221857,11861.893205
299,10681.509152,10943.178791
300,11306.590031,11745.769419
301,12599.623038,12918.088863
302,11948.967338,12347.396997
303,11740.994157,12416.732853
304,13083.650186,13478.792819
305,13506.692924,14036.682469
306,12581.675741,13002.947499
307,13341.027511,13680.900840
308,11510.243045,11828.550424
309,10929.873124,11295.882422
310,12755.792908,13734.801598
311,11037.598428,11349.973819
312,11574.923929,11784.397072
313,12708.822597,13231.516303
314,13434.544681,13892.488105
315,12706.264906,13037.976129
316,11427.981363,11783.186913
317,11492.303067,11750.560819
318,13658.663119,14116.153103
319,11441.014710,12066.269734
320,13578.469826,13911.519706
321,12704.989454,12844.996701
322,11948.553051,12167.394355
323,12427.765751,12751.001560
324,11147.150554,11328.944487
325,11847.728863,12131.323106
326,11560.645708,11697.044303
327,12879.435390,13368.721779
328,10004.483553,10464.642208
329,11547.605003,11763.549811
330,12297.444936,12828.736379
331,11821.170912,12059.877807
332,13065.720260,13396.322856
333,13000.846017,13115.520350
334,11766.264817,12142.774060
335,11882.465315,12180.401598
336,12873.996161,13330.860683
337,13170.744913,13794.516254
338,11526.780912,12031.954526
