Generation,TimeSeconds
557,2.740000
558,4.503000
559,2.696000
560,4.029000
561,5.122000
562,2.979000
563,3.836000
564,2.870000
565,3.435000
566,1.957000
567,3.436000
568,2.989000
569,5.511000
570,3.095000
571,4.197000
572,4.225000
573,4.318000
574,4.237000
575,3.991000
576,4.162000
577,3.698000
578,4.175000
579,3.170000
580,5.765000
581,3.352000
582,4.495000
583,3.842000
584,4.115000
585,4.624000
586,2.353000
587,5.238000
588,3.053000
589,5.314000
590,3.884000
591,3.514000
592,4.656000
593,3.477000
594,3.421000
595,3.732000
596,3.477000
597,7.079000
598,4.237000
599,3.961000
600,6.317000
601,3.167000
602,2.824000
603,3.035000
604,4.064000
605,3.552000
606,3.766000
607,2.437000
608,4.527000
609,4.526000
610,3.059000
611,3.150000
612,3.618000
613,4.679000
614,5.584000
615,4.551000
616,2.637000
617,4.678000
618,4.692000
619,2.824000
620,3.743000
621,5.070000
622,5.375000
623,5.154000
624,7.337000
625,6.273000
626,3.349000
627,3.823000
628,4.687000
629,4.615000
630,4.660000
631,4.189000
632,5.835000
633,2.991000
634,4.050000
635,4.008000
636,4.471000
637,4.277000
638,4.896000
639,3.670000
640,4.995000
641,4.260000
642,5.766000
643,6.204000
644,3.309000
645,5.546000
646,1.818000
647,5.368000
648,5.215000
649,4.965000
650,5.143000
651,5.055000
652,4.933000
653,5.569000
654,4.026000
655,2.084000
656,4.614000
657,3.747000
658,2.583000
659,4.429000
660,2.450000
661,3.742000
662,1.718000
663,4.613000
664,3.100000
665,4.413000
666,4.061000
667,3.612000
668,3.612000
669,4.261000
670,1.721000
671,2.953000
672,3.960000
673,3.341000
674,3.564000
675,3.324000
676,3.722000
677,4.711000
678,3.118000
679,4.374000
680,4.828000
681,4.287000
682,3.697000
683,4.451000
684,4.724000
685,6.428000
686,2.390000
687,2.531000
688,5.036000
689,3.595000
690,5.038000
691,2.861000
692,5.928000
693,6.222000
694,5.025000
695,4.515000
696,5.941000
697,4.049000
698,6.332000
699,5.964000
700,9.695000
701,13.876000
702,9.717000
703,12.302000
704,10.182000
705,9.158000
706,6.103000
707,3.007000
708,7.782000
709,10.318000
710,9.269000
711,9.471000
712,11.108000
713,10.309000
714,13.664000
715,8.508000
716,9.118000
717,10.486000
718,8.762000
719,15.188000
720,8.960000
721,11.408000
722,10.131000
723,11.238000
724,9.160000
725,4.945000
726,3.050000
727,5.865000
728,2.621000
729,4.625000
730,4.355000
731,5.352000
732,4.446000
733,3.202000
734,2.615000
735,3.151000
736,4.987000
737,2.874000
738,2.889000
739,3.902000
740,3.974000
741,5.166000
742,4.500000
743,4.896000
744,3.045000
745,5.272000
746,5.900000
747,3.450000
748,3.744000
749,3.702000
750,5.423000
751,5.173000
752,4.204000
753,4.635000
754,6.416000
755,4.302000
756,5.454000
757,3.822000
758,5.145000
759,2.212000
760,3.367000
761,3.948000
762,2.796000
763,3.700000
764,4.541000
765,4.256000
766,2.956000
767,3.542000
768,4.684000
769,2.978000
770,4.118000
771,3.515000
772,3.581000
773,3.912000
774,3.038000
775,4.033000
776,1.622000
777,3.536000
778,2.705000
779,3.802000
780,5.395000
781,4.689000
782,4.718000
783,4.075000
784,4.330000
785,4.262000
786,4.690000
787,2.650000
